status,english_name,chinese_name,source_filename,pack_filename
approved_selected,Ace of Pentacles,星币一,神秘的星币与宁静花园.png,approved_selected/Ace_of_Pentacles_星币一.png
approved_selected,Two of Pentacles,星币二,平衡之舞与星币.png,approved_selected/Two_of_Pentacles_星币二.png
approved_selected,Three of Pentacles,星币三,石工坊中的精雕细刻.png,approved_selected/Three_of_Pentacles_星币三.png
approved_selected,Four of Pentacles,星币四,守护者与金金币.png,approved_selected/Four_of_Pentacles_星币四.png
approved_selected,Five of Pentacles,星币五,雪中苦行者与温暖窗光.png,approved_selected/Five_of_Pentacles_星币五.png
approved_selected,Six of Pentacles,星币六,金币与秤的分赠.png,approved_selected/Six_of_Pentacles_星币六.png
approved_selected,Nine of Pentacles,星币九,优雅的九枚金币.png,approved_selected/Nine_of_Pentacles_星币九.png
approved_selected,Ten of Pentacles,星币十,温馨的家族庭院景象.png,approved_selected/Ten_of_Pentacles_星币十.png
approved_selected,Page of Pentacles,星币侍从,宁静园中_金币凝视.png,approved_selected/Page_of_Pentacles_星币侍从.png
approved_selected,Queen of Pentacles,星币王后,温柔的沉思者与兔子.png,approved_selected/Queen_of_Pentacles_星币王后.png
pending_review,Seven of Pentacles,星币七,七枚金币与温柔的山丘.png,pending_review/Seven_of_Pentacles_星币七.png
pending_review,Eight of Pentacles,星币八,工匠与五角星金币.png,pending_review/Eight_of_Pentacles_星币八.png
pending_review,Knight of Pentacles,星币骑士,骑士与五角星.png,pending_review/Knight_of_Pentacles_星币骑士.png
pending_review,King of Pentacles,星币国王,王者的沉思.png,pending_review/King_of_Pentacles_星币国王.png
